ranking,codigo ibge,cidade ,estado,populacao,uf
1§,3550308,Sao Paulo,sp,12ÿ396ÿ372,sp
2§,3304557,Rio de Janeiro,rj,6ÿ775ÿ561,rj
3§,5300108,Bras¡lia,ÿdf,3ÿ094ÿ325,df
4§,2927408,Salvador,ba,2ÿ900ÿ319,ba
5§,2304400,Fortaleza,ce ,2ÿ703ÿ391,ce 
6§,3106200,Belo Horizonte,mg,2ÿ530ÿ701,mg
7§,1302603,Manaus,ÿam,2ÿ255ÿ903,am
8§,4106902,Curitiba,pr ,1ÿ963ÿ726,pr 
9§,2611606,Recife,pe,1ÿ661ÿ017,pe
10§,5208707,Goiƒnia,go,1ÿ555ÿ626,go
11§,1501402,Belem,pa ,1ÿ506ÿ420,pa 
12§,4314902,Porto Alegre,rs,1ÿ492ÿ530,rs
13§,3518800,Guarulhos,sp,1ÿ404ÿ694,sp
14§,3509502,Campinas,sp,1ÿ223ÿ237,sp
15§,2111300,Sao Lu¡s,ma,1ÿ115ÿ932,ma
16§,3304904,Sao Goncalo,rj,1ÿ098ÿ357,rj
17§,2704302,Macei¢,ÿal,1ÿ031ÿ597,al
18§,3301702,Duque de Caxias,rj,929ÿ449,rj
19§,5002704,Campo Grande,ms,916ÿ001,ms
20§,2408102,Natal,rn,896ÿ708,rn
21§,2211001,Teresina,pi,871ÿ126,pi
22§,3548708,Sao Bernardo do Campo,sp,849ÿ874,sp
23§,2507507,Joao Pessoa,pb,825ÿ796,pb
24§,3303500,Nova Igua‡u,rj,825ÿ388,rj
25§,3549904,Sao Jose dos Campos,sp,737ÿ310,sp
26§,3547809,Santo Andre,sp,723ÿ889,sp
27§,3543402,Ribeirao Preto,sp,720ÿ116,sp
28§,2607901,Jaboatao dos Guararapes,pe,711ÿ330,pe
29§,3170206,Uberlƒndia,mg,706ÿ597,mg
30§,3534401,Osasco,sp,701ÿ428,sp
31§,3552205,Sorocaba,sp,695ÿ328,sp
32§,3118601,Contagem,mg,673ÿ849,mg
33§,2800308,Aracaju,se,672ÿ614,se
34§,2910800,Feira de Santana,ba,624ÿ107,ba
35§,5103403,Cuiab ,mt,623ÿ614,mt
36§,4209102,Joinville,sc,604ÿ708,sc
37§,5201405,Aparecida de Goiƒnia,go,601ÿ844,go
38§,4113700,Londrina,pr ,580ÿ870,pr 
39§,3136702,Juiz de Fora,mg,577ÿ532,mg
40§,1100205,Porto Velho,ro,548ÿ952,ro
41§,1500800,Ananindeua,pa ,540ÿ410,pa 
42§,3205002,Serra,es,536ÿ765,es
43§,4305108,Caxias do Sul,rs,523ÿ716,rs
44§,1600303,Macap ,ÿap ,522ÿ357,ap 
45§,3303302,Niter¢i,rj,516ÿ981,rj
46§,4205407,Florian¢polis,sc,516ÿ524,sc
47§,3300456,Belford Roxo,rj,515ÿ239,rj
48§,3301009,Campos dos Goytacazes,rj,514ÿ643,rj
49§,3205200,Vila Velha,es,508ÿ655,es
50§,3529401,Mau ,sp,481ÿ725,sp
51§,3305109,Sao Joao de Meriti,rj,473ÿ385,rj
52§,3549805,Sao Jose do Rio Preto,sp,469ÿ173,sp
53§,3530607,Mogi das Cruzes,sp,455ÿ587,sp
54§,3106705,Betim,mg,450ÿ024,mg
55§,1400100,Boa Vista,rr,436ÿ591,rr
56§,4115200,Maring ,pr ,436ÿ472,pr 
57§,3548500,Santos,sp,433ÿ991,sp
58§,3513801,Diadema,sp,429ÿ550,sp
59§,3525904,Jundia¡,sp,426ÿ935,sp
60§,1200401,Rio Branco,ÿac,419ÿ452,ac
61§,3143302,Montes Claros,mg,417ÿ478,mg
62§,2504009,Campina Grande,pb,413ÿ830,pb
63§,3538709,Piracicaba,sp,410ÿ275,sp
64§,3510609,Carapicu¡ba,sp,405ÿ375,sp
65§,5201108,An polis,go,396ÿ526,go
66§,2609600,Olinda,pe,393ÿ734,pe
67§,3201308,Cariacica,es,386ÿ495,es
68§,3506003,Bauru,sp,381ÿ706,sp
69§,3523107,Itaquaquecetuba,sp,379ÿ082,sp
70§,3551009,Sao Vicente,sp,370ÿ839,sp
71§,3205309,Vit¢ria,es,369ÿ534,es
72§,2604106,Caruaru,pe,369ÿ343,pe
73§,2303709,Caucaia,ce ,368ÿ918,ce 
74§,4202404,Blumenau,sc,366ÿ418,sc
75§,2611101,Petrolina,pe,359ÿ372,pe
76§,4119905,Ponta Grossa,pr ,358ÿ838,pr 
77§,3516200,Franca,sp,358ÿ539,sp
78§,4304606,Canoas,rs,349ÿ728,rs
79§,4314407,Pelotas,rs,343ÿ826,rs
80§,2933307,Vit¢ria da Conquista,ba,343ÿ643,ba
81§,3154606,Ribeirao das Neves,mg,341ÿ415,mg
82§,3170107,Uberaba,mg,340ÿ277,mg
83§,2610707,Paulista,pe,336ÿ919,pe
84§,3541000,Praia Grande,sp,336ÿ454,sp
85§,4104808,Cascavel,pr ,336ÿ073,pr 
86§,4125506,Sao Jose dos Pinhais,pr ,334ÿ620,pr 
87§,3518701,Guaruj ,sp,324ÿ977,sp
88§,3554102,Taubate,sp,320ÿ820,sp
89§,1721000,Palmas,to,313ÿ349,to
90§,3526902,Limeira,sp,310ÿ783,sp
91§,2905701,Camacari,ba,309ÿ208,ba
92§,1506807,Santarem,pa ,308ÿ339,pa 
93§,3303906,Petr¢polis,rj,307ÿ144,rj
94§,2408003,Mossor¢,rn,303ÿ792,rn
95§,3552502,Suzano,sp,303ÿ397,sp
96§,3552809,Taboao da Serra,sp,297ÿ528,sp
97§,5108402,V rzea Grande,mt,290ÿ383,mt
98§,3552403,Sumare,sp,289ÿ875,sp
99§,1504208,Marab ,pa ,287ÿ664,pa 
100§,4309209,Gravata¡,rs,285ÿ564,rs
101§,4316907,Santa Maria,rs,285ÿ159,rs
102§,3127701,Governador Valadares,mg,282ÿ164,mg
103§,3505708,Barueri,sp,279ÿ704,sp
104§,3515004,Embu das Artes,sp,279ÿ264,sp
105§,2307304,Juazeiro do Norte,ce ,278ÿ264,ce 
106§,3306305,Volta Redonda,rj,274ÿ925,rj
107§,2403251,Parnamirim,rn,272ÿ490,rn
108§,3131307,Ipatinga,mg,267ÿ333,mg
109§,3302403,Macae,rj,266ÿ136,rj
110§,3520509,Indaiatuba,sp,260ÿ690,sp
111§,2105302,Imperatriz,ma,259ÿ980,ma
112§,4108304,Foz do Igua‡u,pr ,257ÿ971,pr 
113§,3513009,Cotia,sp,257ÿ882,sp
114§,4323002,Viamao,rs,257ÿ330,rs
115§,3548906,Sao Carlos,sp,256ÿ915,sp
116§,4216602,Sao Jose,sc,253ÿ705,sc
117§,4105805,Colombo,pr ,249ÿ277,pr 
118§,3302502,Mage,rj,247ÿ741,rj
119§,4313409,Novo Hamburgo,rs,247ÿ303,rs
120§,5218805,Rio Verde,go,247ÿ259,go
121§,3301900,Itabora¡,rj,244ÿ416,rj
122§,3501608,Americana,sp,244ÿ370,sp
123§,3522505,Itapevi,sp,244ÿ131,sp
124§,3167202,Sete Lagoas,mg,243ÿ950,mg
125§,3122306,Divin¢polis,mg,242ÿ505,mg
126§,3529005,Mar¡lia,sp,242ÿ249,sp
127§,3503208,Araraquara,sp,240ÿ542,sp
128§,4318705,Sao Leopoldo,rs,240ÿ378,rs
129§,5107602,Rondon¢polis,mt,239ÿ613,mt
130§,3519071,Hortolƒndia,sp,237ÿ570,sp
131§,3524402,Jacare¡,sp,237ÿ119,sp
132§,2700300,Arapiraca,ÿal,234ÿ309,al
133§,3300704,Cabo Frio,rj,234ÿ077,rj
134§,3541406,Presidente Prudente,sp,231ÿ953,sp
135§,2307650,Maracana£,ce ,230ÿ986,ce 
136§,5003702,Dourados,ms,227ÿ990,ms
137§,4204202,Chapec¢,sc,227ÿ587,sc
138§,4208203,Itaja¡,sc,226ÿ617,sc
139§,5200258,Aguas Lindas de Goi s,go,222ÿ850,go
140§,3157807,Santa Luzia,mg,221ÿ705,mg
141§,2918407,Juazeiro,ba,219ÿ544,ba
142§,4204608,Crici£ma,sc,219ÿ393,sc
143§,1505536,Parauapebas,pa ,218ÿ787,pa 
144§,5212501,Luziƒnia,go,214ÿ645,go
145§,2914802,Itabuna,ba,214ÿ123,ba
146§,4315602,Rio Grande,rs,212ÿ881,rs
147§,2312908,Sobral,ce ,212ÿ437,ce 
148§,4300604,Alvorada,rs,212ÿ352,rs
149§,3201209,Cachoeiro de Itapemirim,es,212ÿ172,es
150§,2602902,Cabo de Santo Agostinho,pe,210ÿ796,pe
151§,3300100,Angra dos Reis,rj,210ÿ171,rj
152§,3543907,Rio Claro,sp,209ÿ548,sp
153§,4314100,Passo Fundo,rs,206ÿ103,rs
154§,1502400,Castanhal,pa ,205ÿ667,pa 
155§,2919207,Lauro de Freitas,ba,204ÿ669,ba
156§,3502804,Aracatuba,sp,199ÿ210,sp
157§,3515707,Ferraz de Vasconcelos,sp,198ÿ661,sp
158§,3545803,Santa B rbara d'Oeste,sp,195ÿ278,sp
159§,3303401,Nova Friburgo,rj,191ÿ664,rj
160§,2804805,Nossa Senhora do Socorro,se,187ÿ733,se
161§,1702109,Aragua¡na,to,186ÿ245,to
162§,3305802,Teres¢polis,rj,185ÿ820,rj
163§,3300407,Barra Mansa,rj,185ÿ237,rj
164§,4208906,Jaragu  do Sul,sc,184ÿ579,sc
165§,3129806,Ibirite,mg,184ÿ030,mg
166§,4109401,Guarapuava,pr ,183ÿ755,pr 
167§,2111201,Sao Jose de Ribamar,ma,180ÿ345,ma
168§,3203205,Linhares,es,179ÿ755,es
169§,3522208,Itapecerica da Serra,sp,179ÿ574,sp
170§,3516309,Francisco Morato,sp,179ÿ372,sp
171§,4211900,Palhoca,sc,178ÿ679,sc
172§,3523909,Itu,sp,177ÿ150,sp
173§,3302858,Mesquita,rj,177ÿ016,rj
174§,5221858,Valpara¡so de Goi s,go,175ÿ720,go
175§,3507605,Braganca Paulista,sp,172ÿ346,sp
176§,3538006,Pindamonhangaba,sp,171ÿ885,sp
177§,2112209,Timon,ma,171ÿ317,ma
178§,3151800,Po‡os de Caldas,mg,169ÿ838,mg
179§,3302700,Maric ,rj,167ÿ668,rj
180§,3522307,Itapetininga,sp,167ÿ106,sp
181§,2103000,Caxias,ma,166ÿ159,ma
182§,2931350,Teixeira de Freitas,ba,164ÿ290,ba
183§,3303203,Nil¢polis,rj,162ÿ893,rj
184§,3548807,Sao Caetano do Sul,sp,162ÿ763,sp
185§,1500107,Abaetetuba,pa ,160ÿ439,pa 
186§,2603454,Camaragibe,pe,159ÿ945,pe
187§,3304524,Rio das Ostras,rj,159ÿ529,rj
188§,3516408,Franco da Rocha,sp,158ÿ438,sp
189§,2903201,Barreiras,ba,158ÿ432,ba
190§,2913606,Ilheus,ba,157ÿ639,ba
191§,4118204,Paranagu ,pr ,157ÿ378,pr 
192§,4209300,Lages,sc,157ÿ158,sc
193§,2918001,Jequie,ba,156ÿ277,ba
194§,3148004,Patos de Minas,mg,154ÿ641,mg
195§,3152501,Pouso Alegre,mg,154ÿ293,mg
196§,3530706,Mogi Gua‡u,sp,154ÿ146,sp
197§,2207702,Parna¡ba,pi,153ÿ863,pi
198§,3525300,Ja£,sp,153ÿ463,sp
199§,2900702,Alagoinhas,ba,153ÿ023,ba
200§,2925303,Porto Seguro,ba,152ÿ529,ba
201§,3304144,Queimados,rj,152ÿ311,rj
202§,3507506,Botucatu,sp,149ÿ718,sp
203§,4202008,Balne rio Cambori£,sc,149ÿ227,sc
204§,5107909,Sinop,mt,148ÿ960,mt
205§,4101804,Arauc ria,pr ,148ÿ522,pr 
206§,3504107,Atibaia,sp,145ÿ378,sp
207§,3547304,Santana de Parna¡ba,sp,145ÿ073,sp
208§,4127700,Toledo,pr ,144ÿ601,pr 
209§,4320008,Sapucaia do Sul,rs,142ÿ508,rs
210§,2606002,Garanhuns,pe,141ÿ347,pe
211§,3168606,Te¢filo Otoni,mg,141ÿ269,mg
212§,1502103,Camet ,pa ,140ÿ814,pa 
213§,4202909,Brusque,sc,140ÿ597,sc
214§,2616407,Vit¢ria de Santo Antao,pe,140ÿ389,pe
215§,3105608,Barbacena,mg,139ÿ061,mg
216§,2513703,Santa Rita,pb,138ÿ093,pb
217§,3156700,Sabar ,mg,137ÿ877,mg
218§,3170701,Varginha,mg,137ÿ608,mg
219§,4101408,Apucarana,pr ,137ÿ438,pr 
220§,2930709,Simäes Filho,ba,137ÿ117,ba
221§,3503307,Araras,sp,136ÿ739,sp
222§,3302007,Itagua¡,rj,136ÿ547,rj
223§,3300209,Araruama,rj,136ÿ109,rj
224§,1504422,Marituba,pa ,135ÿ812,pa 
225§,1507300,Sao Felix do Xingu,pa ,135ÿ732,pa 
226§,4104204,Campo Largo,pr ,135ÿ678,pr 
227§,4119152,Pinhais,pr ,134ÿ788,pr 
228§,3204906,Sao Mateus,es,134ÿ629,es
229§,2304202,Crato,ce ,133ÿ913,ce 
230§,3304201,Resende,rj,133ÿ244,rj
231§,3556206,Valinhos,sp,133ÿ169,sp
232§,3513504,Cubatao,sp,132ÿ521,sp
233§,4316808,Santa Cruz do Sul,rs,132ÿ271,rs
234§,4303103,Cachoeirinha,rs,132ÿ144,rs
235§,5221403,Trindade,go,132ÿ006,go
236§,3171204,Vespasiano,mg,131ÿ849,mg
237§,2306405,Itapipoca,ce ,131ÿ687,ce 
238§,2307700,Maranguape,ce ,131ÿ677,ce 
239§,1100122,Ji-Paran ,ro,131ÿ026,ro
240§,3118304,Conselheiro Lafaiete,mg,130ÿ584,mg
241§,1501709,Braganca,pa ,130ÿ122,pa 
242§,1501303,Barcarena,pa ,129ÿ333,pa 
243§,3202405,Guarapari,es,128ÿ504,es
244§,3551702,Sertaozinho,sp,128ÿ432,sp
245§,3525003,Jandira,sp,127ÿ734,sp
246§,4322400,Uruguaiana,rs,126ÿ766,rs
247§,4101507,Arapongas,pr ,126ÿ545,pr 
248§,3506508,Birigui,sp,126ÿ094,sp
249§,5208004,Formosa,go,125ÿ705,go
250§,2107506,Pa‡o do Lumiar,ma,125ÿ265,ma
251§,3543303,Ribeirao Pires,sp,125ÿ238,sp
252§,3510500,Caraguatatuba,sp,125ÿ194,sp
253§,5008305,Trˆs Lagoas,ms,125ÿ137,ms
254§,1600600,Santana,ÿap ,124ÿ808,ap 
255§,3557006,Votorantim,sp,124ÿ468,sp
256§,3201506,Colatina,es,124ÿ283,es
257§,3556503,V rzea Paulista,sp,124ÿ269,sp
258§,3523404,Itatiba,sp,124ÿ254,sp
259§,3554003,Tatu¡,sp,124ÿ134,sp
260§,3505500,Barretos,sp,123ÿ546,sp
261§,2103307,Cod¢,ma,123ÿ368,ma
262§,3518404,Guaratinguet ,sp,123ÿ192,sp
263§,3511102,Catanduva,sp,123ÿ114,sp
264§,4302105,Bento Goncalves,rs,123ÿ090,rs
265§,3131703,Itabira,mg,121ÿ717,mg
266§,4301602,Bage,rs,121ÿ518,rs
267§,5220454,Senador Canedo,go,121ÿ447,go
268§,4100400,Almirante Tamandare,pr ,121ÿ420,pr 
269§,3545209,Salto,sp,120ÿ779,sp
270§,2606804,Igarassu,pe,119ÿ690,pe
271§,5215231,Novo Gama,go,119ÿ649,go
272§,3539806,Po ,sp,119ÿ221,sp
273§,2924009,Paulo Afonso,ba,119ÿ213,ba
274§,3103504,Araguari,mg,118ÿ361,mg
275§,3169901,Ub ,mg,117ÿ995,mg
276§,1500602,Altamira,pa ,117ÿ320,pa 
277§,4119509,Piraquara,pr ,116ÿ852,pr 
278§,1508100,Tucuru¡,pa ,116ÿ605,pa 
279§,1303403,Parintins,ÿam,116ÿ439,am
280§,3147907,Passos,mg,115ÿ970,mg
281§,1505502,Paragominas,pa ,115ÿ838,pa 
282§,2910727,Eun polis,ba,115ÿ360,ba
283§,3534708,Ourinhos,sp,115ÿ139,sp
284§,2613701,Sao Louren‡o da Mata,pe,114ÿ910,pe
285§,3536505,Paul¡nia,sp,114ÿ508,sp
286§,2100055,Acailƒndia,ma,113ÿ783,ma
287§,4128104,Umuarama,pr ,113ÿ416,pr 
288§,5205109,Catalao,go,113ÿ091,go
289§,5003207,Corumb ,ms,112ÿ669,ms
290§,2612505,Santa Cruz do Capibaribe,pe,111ÿ812,pe
291§,1507953,Tailƒndia,pa ,111ÿ554,pa 
292§,1100023,Ariquemes,ro,111ÿ148,ro
293§,3119401,Coronel Fabriciano,mg,110ÿ709,mg
294§,3143906,Muriae,mg,109ÿ997,mg
295§,2510808,Patos,pb,108ÿ766,pb
296§,3104007,Arax ,mg,108ÿ403,mg
297§,3145208,Nova Serrana,mg,108ÿ241,mg
298§,4103701,Cambe,pr ,108ÿ126,pr 
299§,5107958,Tangar  da Serra,mt,107ÿ631,mt
300§,3305208,Sao Pedro da Aldeia,rj,107ÿ556,rj
301§,4307005,Erechim,rs,107ÿ368,rs
302§,4218707,Tubarao,sc,107ÿ143,sc
303§,5211503,Itumbiara,go,106ÿ845,go
304§,3302270,Japeri,rj,106ÿ296,rj
305§,2803500,Lagarto,se,106ÿ015,se
306§,3134202,Ituiutaba,mg,105ÿ818,mg
307§,3504008,Assis,sp,105ÿ768,sp
308§,3138203,Lavras,mg,105ÿ756,mg
309§,3526704,Leme,sp,105ÿ273,sp
310§,2101202,Bacabal,ma,105ÿ094,ma
311§,3200607,Aracruz,es,104ÿ942,es
312§,2412005,Sao Goncalo do Amarante,rn,104ÿ919,rn
313§,1100304,Vilhena,ro,104ÿ517,ro
314§,3302205,Itaperuna,rj,104ÿ354,rj
315§,3522109,Itanhaem,sp,104ÿ351,sp
316§,1501808,Breves,pa ,104ÿ280,pa 
317§,1301902,Itacoatiara,ÿam,104ÿ046,am
318§,3509007,Caieiras,sp,104ÿ044,sp
319§,4107652,Fazenda Rio Grande,pr ,103ÿ750,pr 
320§,3528502,MairiporÆ,sp,103ÿ645,sp
321§,2305506,Iguatu,ce ,103ÿ633,ce 
322§,5211909,Jata¡,go,103ÿ221,go
323§,2928703,Santo Ant“nio de Jesus,ba,103ÿ204,ba
324§,1503606,Itaituba,pa ,101ÿ541,pa 
325§,3300308,Barra do Pira¡,rj,101ÿ139,rj
326§,2600054,Abreu e Lima,pe,100ÿ698,pe
327§,1302504,Manacapuru,ÿam,99ÿ613,am
328§,2607208,Ipojuca,pe,99ÿ101,pe
329§,4126256,Sarandi,pr ,98ÿ888,pr 
330§,4309308,Gua¡ba,rs,98ÿ331,rs
331§,2932903,Valenca,ba,97ÿ873,ba
332§,3132404,Itajub ,mg,97ÿ782,mg
333§,2501807,Bayeux,pb,97ÿ519,pb
334§,3144805,Nova Lima,mg,97ÿ378,mg
335§,2101400,Balsas,ma,96ÿ951,ma
336§,2802908,Itabaiana,se,96ÿ839,se
337§,3557105,Votuporanga,sp,96ÿ106,sp
338§,4104303,Campo Mourao,pr ,96ÿ102,pr 
339§,3508504,Cacapava,sp,95ÿ752,sp
340§,3147105,Par  de Minas,mg,95ÿ616,mg
341§,5102504,C ceres,mt,95ÿ339,mt
342§,5006606,Ponta PorÆ,ms,95ÿ320,ms
343§,3522406,Itapeva,sp,95ÿ241,sp
344§,5204508,Caldas Novas,go,95ÿ183,go
345§,5107925,Sorriso,mt,94ÿ941,mt
346§,3147006,Paracatu,mg,94ÿ539,mg
347§,3133808,Ita£na,mg,94ÿ455,mg
348§,3530805,Mogi Mirim,sp,94ÿ098,sp
349§,4108403,Francisco Beltrao,pr ,93ÿ308,pr 
350§,3113404,Caratinga,mg,93ÿ124,mg
351§,3550605,Sao Roque,sp,93ÿ076,sp
352§,3555406,Ubatuba,sp,92ÿ819,sp
353§,2919553,Lu¡s Eduardo Magalhaes,ba,92ÿ671,ba
354§,3503901,Aruj ,sp,92ÿ453,sp
355§,3549102,Sao Joao da Boa Vista,sp,92ÿ315,sp
356§,3148103,Patroc¡nio,mg,92ÿ116,mg
357§,2806701,Sao Crist¢vao,se,92ÿ090,se
358§,3139409,Manhua‡u,mg,92ÿ074,mg
359§,3305505,Saquarema,rj,91ÿ938,rj
360§,3504503,Avare,sp,91ÿ792,sp
361§,3550704,Sao Sebastiao,sp,91ÿ637,sp
362§,5217609,Planaltina,go,91ÿ345,go
363§,3168705,Tim¢teo,mg,91ÿ268,mg
364§,3162500,Sao Joao del-Rei,mg,90ÿ897,mg
365§,2109908,Santa Inˆs,ma,89ÿ927,ma
366§,1200203,Cruzeiro do Sul,ÿac,89ÿ760,ac
367§,3527207,Lorena,sp,89ÿ532,sp
368§,4118402,Paranava¡,pr ,89ÿ454,pr 
369§,2311306,Quixad ,ce ,88ÿ899,ce 
370§,2101608,Barra do Corda,ma,88ÿ895,ma
371§,1709500,Gurupi,to,88ÿ428,to
372§,2906501,Candeias,ba,87ÿ820,ba
373§,2613909,Serra Talhada,pe,87ÿ467,pe
374§,4203204,Cambori£,sc,87ÿ179,sc
375§,1301209,Coari,ÿam,86ÿ713,am
376§,1100049,Cacoal,ro,86ÿ416,ro
377§,3509601,Campo Limpo Paulista,sp,86ÿ407,sp
378§,1506138,Redencao,pa ,86ÿ326,pa 
379§,4215802,Sao Bento do Sul,sc,86ÿ317,sc
380§,4311403,Lajeado,rs,86ÿ005,rs
381§,4211306,Navegantes,sc,85ÿ734,sc
382§,2309706,Pacatuba,ce ,85ÿ647,ce 
383§,3170404,Una¡,mg,85ÿ461,mg
384§,2911709,Guanambi,ba,85ÿ353,ba
385§,2606408,Gravat ,pe,85ÿ309,pe
386§,2601102,Araripina,pe,85ÿ301,pe
387§,2604007,Carpina,pe,85ÿ131,pe
388§,4105508,Cianorte,pr ,84ÿ980,pr 
389§,4118501,Pato Branco,pr ,84ÿ779,pr 
390§,1504703,Moju,pa ,84ÿ251,pa 
391§,2108603,Pinheiro,ma,84ÿ160,ma
392§,3529302,Matao,sp,84ÿ069,sp
393§,4310207,Iju¡,rs,84ÿ041,rs
394§,3305554,Seropedica,rj,83ÿ841,rj
395§,2910057,Dias d'µvila,ba,83ÿ705,ba
396§,4307708,Esteio,rs,83ÿ352,rs
397§,3513405,Cruzeiro,sp,82ÿ895,sp
398§,2407104,Maca¡ba,rn,82ÿ828,rn
399§,3306008,Trˆs Rios,rj,82ÿ468,rj
400§,2311405,Quixeramobim,ce ,82ÿ455,ce 
401§,2930501,Serrinha,ba,81ÿ693,ba
402§,2301000,Aquiraz,ce ,81ÿ581,ce 
403§,4303004,Cachoeira do Sul,rs,81ÿ552,rs
404§,3556701,Vinhedo,sp,81ÿ516,sp
405§,3120904,Curvelo,mg,81ÿ085,mg
406§,3101607,Alfenas,mg,80ÿ973,mg
407§,3136207,Joao Monlevade,mg,80ÿ903,mg
408§,2917508,Jacobina,ba,80ÿ749,ba
409§,3205101,Viana,es,80ÿ735,es
410§,2103208,Chapadinha,ma,80ÿ705,ma
411§,4127106,Telˆmaco Borba,pr ,80ÿ588,pr 
412§,3169307,Trˆs Cora‡äes,mg,80ÿ561,mg
413§,4319901,Sapiranga,rs,80ÿ514,rs
414§,2606200,Goiana,pe,80ÿ345,pe
415§,3519709,Ibi£na,sp,80ÿ062,sp
416§,4203006,Cacador,sc,80ÿ017,sc
417§,3171303,Vi‡osa,mg,79ÿ910,mg
418§,2930105,Senhor do Bonfim,ba,79ÿ813,ba
419§,2311801,Russas,ce ,79ÿ550,ce 
420§,3509205,Cajamar,sp,79ÿ034,sp
421§,3527108,Lins,sp,78ÿ978,sp
422§,2208007,Picos,pi,78ÿ627,pi
423§,1505064,Novo Repartimento,pa ,78ÿ488,pa 
424§,3524303,Jaboticabal,sp,78ÿ029,sp
425§,3506102,Bebedouro,sp,77ÿ612,sp
426§,4317509,Santo ¶ngelo,rs,77ÿ544,rs
427§,2302800,Caninde,ce ,77ÿ484,ce 
428§,2916401,Itapetinga,ba,77ÿ408,ba
429§,3539301,Pirassununga,sp,77ÿ330,sp
430§,3306107,Valenca,rj,77ÿ202,rj
431§,2313401,Tiangu ,ce ,77ÿ111,ce 
432§,2601706,Belo Jardim,pe,76ÿ930,pe
433§,5219753,Santo Ant“nio do Descoberto,go,76ÿ871,go
434§,1506708,Santana do Araguaia,pa ,75ÿ995,pa 
435§,3115300,Cataguases,mg,75ÿ942,mg
436§,3522604,Itapira,sp,75ÿ683,sp
437§,4204301,Conc¢rdia,sc,75ÿ683,sc
438§,2707701,Rio Largo,ÿal,75ÿ662,al
439§,4317103,Santana do Livramento,rs,75ÿ647,rs
440§,2301109,Aracati,ce ,75ÿ392,ce 
441§,2601201,Arcoverde,pe,75ÿ295,pe
442§,2304103,Crate£s,ce ,75ÿ241,ce 
443§,1505304,Oriximin ,pa ,74ÿ921,pa 
444§,3146107,Ouro Preto,mg,74ÿ824,mg
445§,3512803,Cosm¢polis,sp,74ÿ662,sp
446§,5205497,Cidade Ocidental,go,74ÿ370,go
447§,2402600,Cear -Mirim,rn,74ÿ268,rn
448§,2309607,Pacajus,ce ,74ÿ145,ce 
449§,2914604,Irecˆ,ba,74ÿ050,ba
450§,4317202,Santa Rosa,rs,73ÿ882,rs
451§,4307906,Farroupilha,rs,73ÿ758,rs
452§,2102325,Buriticupu,ma,73ÿ595,ma
453§,2706307,Palmeira dos Öndios,ÿal,73ÿ452,al
454§,3501905,Amparo,sp,73ÿ145,sp
455§,2110005,Santa Luzia,ma,73ÿ105,ma
456§,2907202,Casa Nova,ba,73ÿ092,ba
457§,4214805,Rio do Sul,sc,72ÿ931,sc
458§,1506500,Santa Izabel do Par ,pa ,72ÿ856,pa 
459§,2303501,Cascavel,ce ,72ÿ706,ce 
460§,3124104,Esmeraldas,mg,72ÿ512,mg
461§,4300406,Alegrete,rs,72ÿ493,rs
462§,3135100,Jana£ba,mg,72ÿ374,mg
463§,4322608,Venƒncio Aires,rs,72ÿ373,rs
464§,4207502,Indaial,sc,72ÿ346,sc
465§,4104907,Castro,pr ,72ÿ125,pr 
466§,5208608,Goianesia,go,72ÿ045,go
467§,4205902,Gaspar,sc,71ÿ925,sc
468§,3164704,Sao Sebastiao do Para¡so,mg,71ÿ915,mg
469§,2906006,Campo Formoso,ba,71ÿ754,ba
470§,2104800,Graja£,ma,70ÿ692,ma
471§,4202305,Bigua‡u,sc,70ÿ471,sc
472§,2609907,Ouricuri,pe,70ÿ466,pe
473§,3515103,Embu-Gua‡u,sp,70ÿ402,sp
474§,2903904,Bom Jesus da Lapa,ba,70ÿ151,ba
475§,2516201,Sousa,pb,69ÿ997,pb
476§,4303905,Campo Bom,rs,69ÿ981,rs
477§,2802106,Estƒncia,se,69ÿ919,se
478§,1502202,Capanema,pa ,69ÿ828,pa 
479§,2503209,Cabedelo,pb,69ÿ773,pb
480§,2605202,Escada,pe,69ÿ701,pe
481§,3537602,Peru¡be,sp,69ÿ697,sp
482§,2305233,Horizonte,ce ,69ÿ688,ce 
483§,3515509,Fernand¢polis,sp,69ÿ680,sp
484§,5105259,Lucas do Rio Verde,mt,69ÿ671,mt
485§,3526803,Len‡¢is Paulista,sp,69ÿ533,sp
486§,4201406,Ararangu ,sc,69ÿ493,sc
487§,5213103,Mineiros,go,69ÿ477,go
488§,4208302,Itapema,sc,69ÿ323,sc
489§,2105401,Itapecuru-Mirim,ma,69ÿ233,ma
490§,3530508,Mococa,sp,69ÿ072,sp
491§,2402006,Caic¢,rn,68ÿ726,rn
492§,1501782,Breu Branco,pa ,68ÿ597,pa 
493§,1304062,Tabatinga,ÿam,68ÿ502,am
494§,2305407,Ic¢,ce ,68ÿ303,ce 
495§,4122404,Rolƒndia,pr ,68ÿ165,pr 
496§,2610905,Pesqueira,pe,68ÿ067,pe
497§,3135209,Janu ria,mg,67ÿ958,mg
498§,3126109,Formiga,mg,67ÿ956,mg
499§,2904605,Brumado,ba,67ÿ468,ba
500§,2908408,Conceicao do Coite,ba,67ÿ394,ba
501§,1503457,Ipixuna do Par ,pa ,67ÿ170,pa 
502§,4322509,Vacaria,rs,66ÿ916,rs
503§,3137601,Lagoa Santa,mg,66ÿ744,mg
