ranking,codigo ibge,cidade ,estado,populacao,uf
1712§,2310852,Pindoretama,ce ,20ÿ964,ce 
1713§,4302709,Buti ,rs,20ÿ963,rs
1714§,4106605,Cruzeiro do Oeste,pr ,20ÿ962,pr 
1715§,3505807,Bastos,sp,20ÿ952,sp
1716§,2211308,Valenca do Piau¡,pi,20ÿ940,pi
1717§,5220603,Silvƒnia,go,20ÿ938,go
1718§,2601052,Ara‡oiaba,pe,20ÿ936,pe
1719§,3167103,Serro,mg,20ÿ915,mg
1720§,1303700,Santo Ant“nio do I‡ ,ÿam,20ÿ889,am
1721§,4202453,Bombinhas,sc,20ÿ889,sc
1722§,5200100,Abadiania,go,20ÿ873,go
1723§,1300201,Atalaia do Norte,ÿam,20ÿ868,am
1724§,2933505,Wenceslau Guimaraes,ba,20ÿ862,ba
1725§,3547700,Santo Anast cio,sp,20ÿ855,sp
1726§,5106232,Nova Ol¡mpia,mt,20ÿ820,mt
1727§,4128005,UbiratÆ,pr ,20ÿ809,pr 
1728§,2911600,Governador Mangabeira,ba,20ÿ800,ba
1729§,5205513,Cocalzinho de Goi s,go,20ÿ771,go
1730§,1301506,Envira,ÿam,20ÿ748,am
1731§,2611705,Riacho das Almas,pe,20ÿ744,pe
1732§,4314605,Piratini,rs,20ÿ743,rs
1733§,1503044,Floresta do Araguaia,pa ,20ÿ742,pa 
1734§,2111003,Sao Joao Batista,ma,20ÿ736,ma
1735§,2601607,Belem do Sao Francisco,pe,20ÿ730,pe
1736§,2210003,Sao Joao do Piau¡,pi,20ÿ720,pi
1737§,5103379,Cotrigua‡u,mt,20ÿ717,mt
1738§,3141405,Medina,mg,20ÿ701,mg
1739§,3171006,Vazante,mg,20ÿ692,mg
1740§,4127502,Tibagi,pr ,20ÿ688,pr 
1741§,3134608,Jaboticatubas,mg,20ÿ683,mg
1742§,2920700,Mara£,ba,20ÿ664,ba
1743§,2306504,Itapi£na,ce ,20ÿ653,ce 
1744§,2603108,Cachoeirinha,pe,20ÿ618,pe
1745§,2501005,Araruna,pb,20ÿ610,pb
1746§,2900207,Abare,ba,20ÿ594,ba
1747§,2402303,Cara£bas,rn,20ÿ588,rn
1748§,3535804,Paranapanema,sp,20ÿ588,sp
1749§,2207801,Paulistana,pi,20ÿ583,pi
1750§,5101902,Brasnorte,mt,20ÿ571,mt
1751§,2911808,Guaratinga,ba,20ÿ565,ba
1752§,4208807,Jaguaruna,sc,20ÿ547,sc
1753§,3142908,Monte Azul,mg,20ÿ544,mg
1754§,3542404,Regente Feij¢,sp,20ÿ523,sp
1755§,3144102,Muzambinho,mg,20ÿ522,mg
